family,config,n,quality_lll,quality_cfg,delta,n_cfg_wins,n_ties,n_lll_wins,wilcoxon_statistic,p_value
gpt,LLS,30,1.7815,1.6963,-0.0852,7,6,17,90.5,0.088
gpt,LSL,30,1.7815,1.8,0.0185,11,11,8,75.0,0.4191
gpt,LSS,30,1.7815,1.7444,-0.037,9,9,12,91.0,0.3918
gpt,SLL,30,1.7815,1.7556,-0.0259,10,10,10,93.5,0.6665
gpt,SLS,30,1.7815,1.6741,-0.1074,8,10,12,60.5,0.0959
gpt,SSL,30,1.7815,1.7333,-0.0481,7,13,10,48.5,0.1821
gpt,SSS,30,1.7815,1.5926,-0.1889,6,4,20,62.0,0.0038
gemini,LLS,30,1.6963,1.6778,-0.0185,10,6,14,130.5,0.5741
gemini,LSL,30,1.6963,1.6926,-0.0037,9,14,7,58.0,0.6035
gemini,LSS,30,1.6963,1.6815,-0.0148,10,10,10,104.5,0.985
gemini,SLL,30,1.6963,1.7333,0.037,9,14,7,48.5,0.3086
gemini,SLS,30,1.6963,1.6741,-0.0222,7,10,13,83.0,0.4045
gemini,SSL,30,1.6963,1.6852,-0.0111,7,11,12,94.0,0.9678
gemini,SSS,30,1.6963,1.6889,-0.0074,10,8,12,107.0,0.524
qwen,LLS,30,1.6667,1.6889,0.0222,13,9,8,84.0,0.2712
qwen,LSL,30,1.6667,1.6593,-0.0074,13,7,10,137.5,0.9878
qwen,LSS,30,1.6667,1.6741,0.0074,12,8,10,114.0,0.6836
qwen,SLL,30,1.6667,1.6148,-0.0519,10,6,14,111.0,0.264
qwen,SLS,30,1.6667,1.6593,-0.0074,10,12,8,78.0,0.7431
qwen,SSL,30,1.6667,1.663,-0.0037,12,9,9,111.0,0.8753
qwen,SSS,30,1.6667,1.6,-0.0667,12,7,11,108.5,0.368
