feature,dimension,spearman_rho,ci_low,ci_high,n
overall_pass,completude,0.1845,0.0636,0.304,270
overall_pass,fidelidade,0.1064,-0.0202,0.2287,270
overall_pass,rastreabilidade,0.2026,0.0671,0.337,270
overall_pass,quality,0.2324,0.114,0.3436,270
completeness_covered,completude,0.2729,0.1587,0.3754,270
completeness_covered,fidelidade,-0.0567,-0.1832,0.0712,270
completeness_covered,rastreabilidade,0.2653,0.1053,0.4185,270
completeness_covered,quality,0.2369,0.1244,0.3387,270
n_missing_aspects,completude,-0.2716,-0.3756,-0.155,270
n_missing_aspects,fidelidade,0.0593,-0.0674,0.1846,270
n_missing_aspects,rastreabilidade,-0.2636,-0.4164,-0.1046,270
n_missing_aspects,quality,-0.2351,-0.3372,-0.1233,270
pct_supported,completude,0.0734,-0.043,0.1845,270
pct_supported,fidelidade,0.1645,0.0465,0.2765,270
pct_supported,rastreabilidade,0.0759,-0.0475,0.206,270
pct_supported,quality,0.1387,0.0229,0.2494,270
pct_not_supported,completude,-0.0317,-0.1503,0.0901,270
pct_not_supported,fidelidade,-0.1801,-0.2914,-0.0516,270
pct_not_supported,rastreabilidade,-0.1249,-0.2783,0.0237,270
pct_not_supported,quality,-0.1169,-0.2299,0.0074,270
pct_partial,completude,-0.0742,-0.1862,0.0397,270
pct_partial,fidelidade,-0.0924,-0.2036,0.0231,270
pct_partial,rastreabilidade,-0.0078,-0.1316,0.106,270
pct_partial,quality,-0.105,-0.214,0.0095,270
